

 Schedule for group 1

 - ; - ; - ; - ; - ;ML2, 2, 13; 
 - ; - ; - ; - ; - ; - ;
ML3, 3, 4; ML2, 2, 16; ML, 1, 15;  - ; - ; - ;
 - ;ML, 1, 5;  - ; - ; - ; - ;
 - ; - ;ML, 1, 1;  - ; - ;ML2, 2, 17; 
 - ;ML3, 3, 11;  - ; - ;ML3, 3, 17;  - ;


 Schedule for group 2

ML, 1, 14;  - ; - ;ML5, 4, 4; ML5, 4, 8;  - ;
ML2, 2, 12;  - ; - ; - ;ML4, 6, 5;  - ;
 - ; - ;ML2, 2, 4;  - ; - ;ML4, 6, 12; 
 - ;ML3, 3, 1;  - ; - ; - ; - ;
 - ;ML3, 3, 15; ML6, 6, 11;  - ;ML, 1, 3;  - ;
 - ; - ; - ; - ; - ; - ;


 Schedule for group 3

 - ;ML, 1, 6;  - ;ML5, 5, 5; ML5, 5, 13;  - ;
ML4, 1, 11;  - ; - ; - ; - ;ML6, 6, 10; 
 - ;ML3, 3, 9; ML6, 6, 10; ML5, 5, 9; ML5, 5, 5; ML2, 2, 16; 
ML6, 6, 6;  - ;ML3, 3, 10;  - ;ML, 1, 11; ML4, 4, 15; 
 - ;ML6, 6, 15;  - ; - ;ML2, 2, 12; ML4, 4, 10; 
 - ; - ;ML4, 1, 12;  - ; - ; - ;


 Schedule for group 4

ML6, 6, 13;  - ;ML, 1, 12;  - ; - ; - ;
 - ; - ;ML2, 2, 14; ML, 1, 15;  - ;ML5, 5, 17; 
ML2, 2, 5;  - ; - ;ML3, 3, 16;  - ;ML4, 4, 2; 
 - ; - ; - ;ML3, 3, 14;  - ; - ;
 - ; - ; - ;ML4, 4, 14;  - ; - ;
 - ; - ; - ; - ; - ; - ;


 Schedule for group 1

 - ; - ; - ;ML2, 2, 1; ML3, 3, 5;  - ;
ML, 1, 11;  - ; - ;ML2, 2, 2; ML3, 3, 15;  - ;
 - ; - ; - ; - ;ML, 1, 17; ML, 1, 17; 
 - ; - ; - ; - ;ML2, 2, 17;  - ;
 - ; - ; - ; - ; - ;ML3, 3, 11; 
 - ; - ; - ; - ; - ; - ;


 Schedule for group 2

 - ;ML4, 6, 13;  - ; - ; - ; - ;
ML2, 2, 17;  - ;ML, 1, 17;  - ; - ; - ;
ML, 1, 3; ML4, 6, 16; ML6, 6, 9;  - ;ML2, 2, 4;  - ;
ML3, 3, 17;  - ;ML3, 3, 12;  - ;ML5, 4, 1;  - ;
 - ; - ; - ; - ;ML5, 4, 7;  - ;
 - ; - ; - ; - ; - ; - ;


 Schedule for group 3

 - ; - ;ML3, 3, 15; ML5, 5, 15;  - ;ML4, 1, 13; 
 - ;ML6, 6, 12; ML3, 3, 15; ML5, 5, 12;  - ;ML6, 6, 11; 
ML2, 2, 1; ML4, 4, 14; ML2, 2, 11;  - ; - ; - ;
 - ;ML4, 4, 10; ML, 1, 17;  - ;ML5, 5, 15;  - ;
